관리코드,시도,시군구,기관명,URL,QA상태,추천파서,발견,유효,무효,HTTP,오류코드,오류메시지,표본,응답시간ms
"LGS-000001","서울특별시","서울특별시","서울특별시청","http://www.seoul.go.kr/v2012/news/list.html?tr_code=gnb_news","PARSER_UNSUPPORTED","SAEOL_GOSI","0","0","0","200","","","","808"
"LGS-000002","서울특별시","종로구","종로구청","https://market.jongno.go.kr/support/support_jongno","PASS","HEURISTIC_NOTICE","4","4","0","200","","","22 금융 2026 종로구 주방환경개선 지원사업 신청기간 20260416 ~ 20260515(마감) 소관기관명 종로구 사업수행기관 보건정책과 등록일 2026-04-16 조회수 221 / 2026-04-16 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=0d7077c5-c28c-451c-b973-9a91b36b22cb | 21 금융 2026년 소상공인 맞춤형 종합지원사업 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단 등록일 2026-03-31 조회수 455 / 2026-03-31 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=a16d8220-7aa9-461d-96f8-777b90b7c08c | 20 금융 종로구 중소기업육성기금 상반기 융자 지원 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단, 우리은행 등록일 2026-03-11 조회수 348 / 2026-03-11 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=4196b2ca-ab22-43f5-ae37-3364cb29fd79","693"
"LGS-000003","서울특별시","중구","중구청","https://www.junggu.seoul.kr/content.do?cmsid=14203","PARSER_UNSUPPORTED","HEURISTIC_NOTICE","0","0","0","200","","","","1305"
"LGS-000004","서울특별시","용산구","용산구청","https://health.yongsan.go.kr/portal/bbs/B0000095/list.do?menuNo=200233","PASS","SPRING_BBS","10","10","0","200","","","서울특별시 용산구 시간선택제임기제공무원(재난안전상황실 전담요원) 채용 공고 / 2026-07-10 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766043&menuNo=200233&pageUnit=10&pageIndex=1 | 구강보건사업 기간제근로자(치과위생사) 채용시험 최종합격자 공고 / 2026-07-10 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766040&menuNo=200233&pageUnit=10&pageIndex=1 | 시간선택제임기제공무원(CCTV 통합관제센터 관제요원) 1차 서류전형 합격자 발표 및 면접시험 계획 공고 / 2026-07-10 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766035&menuNo=200233&pageUnit=10&pageIndex=1","1455"
"LGS-000005","서울특별시","성동구","성동구청","https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=183&key=1472","PASS","HEURISTIC_NOTICE","10","10","0","200","","","제5회 성동50+ 활동공유회 [플러스 온! -50플러스의 가능성을 켜다-] 부스 모집NEW / 2026-07-10 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359720&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | 성동50플러스센터 2026년 7월 교육프로그램 수강생 모집NEW / 2026-07-10 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359719&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | 청계천 어린이꿈공원 물놀이장 휴장안내（7.9.）NEW / 2026-07-09 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359692&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1","1743"
"LGS-000006","서울특별시","광진구","광진구청","https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200704","PARSER_UNSUPPORTED","HEURISTIC_NOTICE","0","0","0","200","","","","1429"
"LGS-000007","서울특별시","동대문구","동대문구청","https://www.ddm.go.kr/www/contents.do?key=883","PARSER_UNSUPPORTED","HEURISTIC_NOTICE","0","0","0","200","","","","1482"
"LGS-000008","서울특별시","중랑구","중랑구청","https://www.jungnang.go.kr/portal/bbs/list/B0000422.do?menuNo=201111","FAILED","","0","0","0","","NETWORK_ERROR","Invalid header name "" X-Content-Type-Options""","","2617"
"LGS-000009","서울특별시","성북구","성북구청","https://seongbuk.go.kr/www/selectBbsNttList.do?bbsNo=41&key=6350","FAILED","","0","0","0","","NETWORK_ERROR","(certificate_unknown) No subject alternative DNS name matching seongbuk.go.kr found.","","390"
"LGS-000010","서울특별시","강북구","강북구청","https://child.gangbuk.go.kr/portal/bbs/B0000145/list.do?menuNo=200081","PASS","SPRING_BBS","10","10","0","200","","","2026년 서울특별시 전기차 충전인프라 시민 직접지원 시범사업 추가 공고 안내 / 2026-07-10 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183124 | 제안서 평가위원회 평가결과 공개 / 2026-07-09 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183076 | 2026년도 교통유발부담금 부과 현장조사 및 시설물 미사용 신고 / 2026-07-08 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183038","1476"
