관리코드,시도,시군구,기관명,URL,QA상태,추천파서,발견,유효,무효,HTTP,오류코드,오류메시지,표본,응답시간ms
"LGS-000001","서울특별시","서울특별시","서울특별시청","http://www.seoul.go.kr/v2012/news/list.html?tr_code=gnb_news","PARSER_UNSUPPORTED","SAEOL_GOSI","0","0","0","200","","","","950"
"LGS-000002","서울특별시","종로구","종로구청","https://market.jongno.go.kr/support/support_jongno","PASS","HEURISTIC_NOTICE","4","4","0","200","","","22 금융 2026 종로구 주방환경개선 지원사업 신청기간 20260416 ~ 20260515(마감) 소관기관명 종로구 사업수행기관 보건정책과 등록일 2026-04-16 조회수 230 / 2026-04-16 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=0d7077c5-c28c-451c-b973-9a91b36b22cb | 21 금융 2026년 소상공인 맞춤형 종합지원사업 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단 등록일 2026-03-31 조회수 472 / 2026-03-31 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=a16d8220-7aa9-461d-96f8-777b90b7c08c | 20 금융 종로구 중소기업육성기금 상반기 융자 지원 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단, 우리은행 등록일 2026-03-11 조회수 356 / 2026-03-11 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=4196b2ca-ab22-43f5-ae37-3364cb29fd79","840"
"LGS-000003","서울특별시","중구","중구청","https://www.junggu.seoul.kr/content.do?cmsid=14203","PARSER_UNSUPPORTED","SAFE_YANGCHEON_SEOL","0","0","0","200","","","","1564"
"LGS-000004","서울특별시","용산구","용산구청","https://health.yongsan.go.kr/portal/bbs/B0000095/list.do?menuNo=200233","PASS","SPRING_BBS","10","10","0","200","","","2026년 임금교섭 및 협의회 개최 요구사실과 교섭참여 공고 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766077&menuNo=200233&pageUnit=10&pageIndex=1 | 2026년 용산역사박물관 구입 예정 박물관자료(유물) 화상목록 공개 공고 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766070&menuNo=200233&pageUnit=10&pageIndex=1 | 도시계획시설(학교)사업 실시계획(변경)인가를 위한 열람공고 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766067&menuNo=200233&pageUnit=10&pageIndex=1","1812"
"LGS-000005","서울특별시","성동구","성동구청","https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=183&key=1472","PASS","HEURISTIC_NOTICE","10","10","0","200","","","2026년 임산부 친환경농산물 지원사업 신청 안내NEW / 2026-07-13 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359760&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | [성동문화재단] ‛세상에서 하나뿐인 우리집 자장가‵ 무료 참여자 모집 안내NEW / 2026-07-12 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359735&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | 성동 푸르미 재활용정거장 단축운영 알림 （2026. 7. 12.（일） 단축운영）NEW / 2026-07-12 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359734&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1","2029"
"LGS-000006","서울특별시","광진구","광진구청","https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200704","PARSER_UNSUPPORTED","SAFE_YANGCHEON_SEOL","0","0","0","200","","","","1828"
"LGS-000007","서울특별시","동대문구","동대문구청","https://www.ddm.go.kr/www/contents.do?key=883","PARSER_UNSUPPORTED","SAFE_YANGCHEON_SEOL","0","0","0","200","","","","1847"
"LGS-000008","서울특별시","중랑구","중랑구청","https://www.jungnang.go.kr/portal/bbs/list/B0000422.do?menuNo=201111","FAILED","","0","0","0","","NETWORK_ERROR","Invalid header name "" X-Content-Type-Options""","","1737"
"LGS-000009","서울특별시","성북구","성북구청","https://seongbuk.go.kr/www/selectBbsNttList.do?bbsNo=41&key=6350","FAILED","","0","0","0","","NETWORK_ERROR","(certificate_unknown) No subject alternative DNS name matching seongbuk.go.kr found.","","477"
"LGS-000010","서울특별시","강북구","강북구청","https://child.gangbuk.go.kr/portal/bbs/B0000145/list.do?menuNo=200081","PASS","SPRING_BBS","10","10","0","200","","","[강북구진로직업체험지원센터] 직원 채용 공고 / 2026-07-13 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183162 | 2026년 강북구 임산부 친환경농산물 지원사업 신청 안내 / 2026-07-13 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183157 | 2026년 강북 오아시스 냉장고(생수나눔) 운영 안내 / 2026-07-12 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183127","1862"
